Epoch,Error,w1,w2,w3
261,1215450377.7321496,871.7464871444262,756.8007835153559,0
262,1214853728.140468,871.4605846106008,758.511514687416,0
263,1214259661.7469525,871.1752947591378,760.2185798030678,0
264,1213668167.4304376,870.8906162770742,761.9219867185831,0
265,1213079234.1175103,870.6065478542589,763.6217432733981,0
266,1212492850.7822938,870.3230881833497,765.3178572901498,0
267,1211909006.4462502,870.040235959806,767.0103365747108,0
268,1211327690.1779764,869.757989881882,768.6991889162261,0
269,1210748891.092997,869.4763486506223,770.3844220871488,0
270,1210172598.3535755,869.1953109698544,772.0660438432757,0
271,1209598801.1684983,868.9148755461846,773.7440619237834,0
272,1209027488.7928867,868.6350410889895,775.4184840512636,0
273,1208458650.5279944,868.3558063104123,777.089317931758,0
274,1207892275.721007,868.0771699253563,778.7565712547954,0
275,1207328353.7648504,867.7991306514785,780.4202516934259,0
276,1206766874.0979915,867.5216872091831,782.0803669042559,0
277,1206207826.2042425,867.2448383216176,783.7369245274841,0
278,1205651199.6125684,866.9685827146649,785.3899321869366,0
279,1205096983.896892,866.6929191169389,787.0393974901015,0
280,1204545168.6759028,866.4178462597779,788.6853280281646,0
281,1203995743.6128628,866.1433628772389,790.327731376044,0
282,1203448698.415416,865.8694677060914,791.9666150924247,0
283,1202904022.8353992,865.5961594858126,793.601986719794,0
284,1202361706.6686535,865.3234369585808,795.2338537844748,0
285,1201821739.7548306,865.0512988692695,796.862223796663,0
286,1201284111.9772122,864.7797439654416,798.4871042504586,0
287,1200748813.2625155,864.5087709973454,800.1085026239027,0
288,1200215833.580714,864.2383787179058,801.7264263790111,0
289,1199685162.9448469,863.9685658827207,803.3408829618085,0
290,1199156791.4108357,863.6993312500547,804.9518798023636,0
291,1198630709.0773032,863.430673580834,806.5594243148219,0
292,1198106906.085385,863.1625916386394,808.1635238974405,0
293,1197585372.6185508,862.8950841897012,809.7641859326231,0
294,1197066098.9024255,862.6281500028941,811.3614177869518,0
295,1196549075.2046027,862.3617878497312,812.9552268112236,0
296,1196034291.8344674,862.0959965043576,814.545620340482,0
297,1195521739.1430168,861.8307747435458,816.1326056940517,0
298,1195011407.522683,861.5661213466896,817.7161901755727,0
299,1194503287.4071524,861.3020350957984,819.2963810730333,0
300,1193997369.2711937,861.038514775492,820.8731856588041,0
301,1193493643.630474,860.7755591729942,822.4466111896705,0
302,1192992101.0413933,860.5131670781287,824.0166649068678,0
303,1192492732.100899,860.2513372833115,825.5833540361124,0
304,1191995527.4463243,859.9900685835471,827.1466857876364,0
305,1191500477.7552028,859.7293597764223,828.7066673562214,0
306,1191007573.745104,859.4692096620998,830.2633059212296,0
307,1190516806.1734588,859.2096170433147,831.8166086466389,0
308,1190028165.8373916,858.950580725367,833.3665826810746,0
309,1189541643.5735435,858.6920995161172,834.9132351578427,0
310,1189057230.25791,858.4341722259805,836.4565731949622,0
311,1188574916.8056684,858.1767976679215,837.9966038951987,0
312,1188094694.171011,857.9199746574484,839.5333343460975,0
313,1187616553.3469765,857.6637020126077,841.0667716200147,0
314,1187140485.3652859,857.4079785539788,842.5969227741506,0
315,1186666481.2961743,857.1528031046689,844.1237948505817,0
316,1186194532.248226,856.8981744903067,845.6473948762944,0
317,1185724629.3682113,856.6440915390381,847.1677298632158,0
318,1185256763.8409226,856.3905530815198,848.6848068082467,0
319,1184790926.889011,856.1375579509147,850.1986326932935,0
320,1184327109.7728207,855.8851049828862,851.7092144853013,0
321,1183865303.7902358,855.6331930155926,853.2165591362844,0
322,1183405500.2765098,855.3818208896821,854.7206735833595,0
323,1182947690.6041107,855.1309874482872,856.2215647487768,0
324,1182491866.1825616,854.88069153702,857.719239539953,0
325,1182038018.458279,854.6309320039663,859.2137048495017,0
326,1181586138.9144173,854.3817076996804,860.7049675552662,0
327,1181136219.0707083,854.1330174771791,862.1930345203508,0
328,1180688250.4833078,853.8848601919381,863.6779125931516,0
329,1180242224.744638,853.6372347018855,865.1596086073897,0
330,1179798133.4832292,853.3901398673966,866.6381293821413,0
331,1179355968.3635712,853.1435745512896,868.113481721869,0
332,1178915721.0859518,852.8975376188185,869.5856724164543,0
333,1178477383.3863087,852.6520279376701,871.0547082412281,0
334,1178040947.0360756,852.407044377957,872.5205959570018,0
335,1177606403.8420272,852.1625858122138,873.983342310098,0
336,1177173745.6461296,851.9186511153903,875.442954032383,0
337,1176742964.3253925,851.6752391648483,876.8994378412963,0
338,1176314051.7917128,851.4323488403546,878.3528004398819,0
339,1175886999.9917278,851.1899790240774,879.8030485168202,0
340,1175461800.9066696,850.9481286005794,881.2501887464574,0
341,1175038446.5522113,850.7067964568143,882.6942277888364,0
342,1174616928.9783204,850.4659814821209,884.1351722897283,0
343,1174197240.2691162,850.2256825682183,885.5730288806619,0
344,1173779372.542718,849.9858986092004,887.0078041789551,0
345,1173363317.951101,849.746628501531,888.4395047877454,0
346,1172949068.6799526,849.5078711440385,889.8681372960193,0
347,1172536616.9485273,849.2696254379115,891.2937082786442,0
348,1172125955.0095003,849.0318902866937,892.7162242963966,0
349,1171717075.1488273,848.7946645962778,894.1356918959939,0
350,1171309969.6856008,848.5579472749013,895.5521176101245,0
351,1170904630.9719064,848.3217372331413,896.9655079574765,0
352,1170501051.3926835,848.0860333839097,898.3758694427692,0
353,1170099223.3655844,847.8508346424478,899.7832085567821,0
354,1169699139.340832,847.616139926322,901.1875317763858,0
355,1169300791.8010802,847.3819481554175,902.5888455645703,0
356,1168904173.261279,847.1482582519344,903.9871563704759,0
357,1168509276.26853,846.9150691403833,905.3824706294226,0
358,1168116093.4019535,846.6823797475785,906.7747947629397,0
359,1167724617.2725465,846.4501890026345,908.164135178795,0
360,1167334840.5230517,846.2184958369612,909.5504982710249,0
361,1166946755.8278165,845.9872991842578,910.9338904199636,0
362,1166560355.8926585,845.7565979805088,912.3143179922722,0
363,1166175633.4547324,845.5263911639784,913.6917873409682,0
364,1165792581.2823951,845.2966776752071,915.0663048054545,0
365,1165411192.1750698,845.0674564570048,916.4378767115495,0
366,1165031458.9631138,844.8387264544474,917.8065093715148,0
367,1164653374.5076885,844.6104866148714,919.1722090840857,0
368,1164276931.700623,844.3827358878691,920.5349821344987,0
369,1163902123.4642854,844.1554732252839,921.8948347945217,0
370,1163528942.7514503,843.9286975812053,923.2517733224824,0
371,1163157382.54517,843.7024079119643,924.6058039632962,0
372,1162787435.8586426,843.476603176128,925.9569329484965,0
373,1162419095.7350862,843.251282334496,927.3051664962633,0
374,1162052355.247605,843.026444350094,928.6505108114499,0
375,1161687207.4990652,842.802088188171,929.9929720856132,0
376,1161323645.6219656,842.5782128161918,931.3325564970423,0
377,1160961662.7783134,842.354817203836,932.6692702107861,0
378,1160601252.1594908,842.1319003229897,934.0031193786812,0
379,1160242406.9861374,841.9094611477426,935.334110139382,0
380,1159885120.508019,841.6874986543829,936.6622486183869,0
381,1159529386.0039039,841.4660118213923,937.9875409280689,0
382,1159175196.7814412,841.2449996294425,939.309993167701,0
383,1158822546.177032,841.0244610613887,940.6296114234859,0
384,1158471427.555711,840.804395102266,941.9464017685843,0
385,1158121834.3110209,840.5848007392847,943.2603702631418,0
386,1157773759.864891,840.3656769618253,944.5715229543172,0
387,1157427197.6675146,840.1470227614348,945.8798658763104,0
388,1157082141.197228,839.9288371318202,947.1854050503904,0
389,1156738583.9603927,839.7111190688449,948.4881464849226,0
390,1156396519.4912689,839.4938675705253,949.7880961753964,0
391,1156055941.3519042,839.2770816370241,951.0852601044534,0
392,1155716843.1320052,839.060760270647,952.3796442419144,0
393,1155379218.4488273,838.844902475838,953.6712545448071,0
394,1155043060.9470494,838.6295072591738,954.9600969573935,0
395,1154708364.2986627,838.4145736293603,956.2461774111966,0
396,1154375122.202849,838.2001005972285,957.5295018250288,0
397,1154043328.3858654,837.9860871757277,958.8100761050184,0
398,1153712976.6009288,837.7725323799234,960.0879061446371,0
399,1153384060.6280994,837.5594352269917,961.3629978247275,0
400,1153056574.2741668,837.3467947362146,962.6353570135292,0
401,1152730511.372533,837.134609928976,963.9049895667059,0
402,1152405865.7831023,836.922879828757,965.1719013273736,0
403,1152082631.3921614,836.7116034611308,966.4360981261259,0
404,1151760802.1122732,836.5007798537598,967.6975857810622,0
405,1151440371.8821592,836.2904080363893,968.9563700978134,0
406,1151121334.6665895,836.080487040844,970.2124568695698,0
407,1150803684.4562697,835.8710159010232,971.4658518771057,0
408,1150487415.2677312,835.6619936528964,972.7165608888084,0
409,1150172521.1432204,835.4534193345,973.9645896607038,0
410,1149858996.1505847,835.245291985931,975.2099439364817,0
411,1149546834.3831697,835.0376106493436,976.4526294475243,0
412,1149236029.9597015,834.8303743689445,977.6926519129313,0
413,1148926577.0241857,834.6235821909894,978.9300170395461,0
414,1148618469.745794,834.4172331637766,980.1647305219833,0
415,1148311702.3187566,834.2113263376449,981.3967980426532,0
416,1148006268.9622574,834.0058607649676,982.62622527179,0
417,1147702163.9203234,833.8008355001491,983.8530178674752,0
418,1147399381.4617221,833.5962495996204,985.0771814756662,0
419,1147097915.8798513,833.3921021218337,986.2987217302208,0
420,1146797761.4926372,833.1883921272596,987.5176442529239,0
421,1146498912.6424267,832.9851186783822,988.7339546535129,0
422,1146201363.6958818,832.7822808396943,989.9476585297034,0
423,1145905109.0438802,832.5798776776935,991.1587614672159,0
424,1145610143.1014047,832.3779082608783,992.3672690397999,0
425,1145316460.3074448,832.1763716597424,993.5731868092615,0
426,1145024055.1248922,831.9752669467722,994.7765203254872,0
427,1144732922.0404375,831.7745931964419,995.9772751264709,0
428,1144443055.5644693,831.5743494852084,997.1754567383382,0
429,1144154450.230972,831.3745348915083,998.3710706753719,0
430,1143867100.597425,831.1751484957531,999.5641224400392,0
431,1143581001.2446985,830.9761893803243,1000.7546175230144,0
432,1143296146.776961,830.7776566295707,1001.9425614032057,0
433,1143012531.8215704,830.5795493298026,1003.1279595477806,0
434,1142730151.0289817,830.3818665692888,1004.3108174121901,0
435,1142448999.0726411,830.1846074382515,1005.491140440195,0
436,1142169070.6488955,829.9877710288631,1006.6689340638885,0
437,1141890360.476887,829.7913564352405,1007.8442037037253,0
438,1141612863.298458,829.5953627534429,1009.0169547685424,0
439,1141336573.878056,829.3997890814663,1010.1871926555867,0
440,1141061487.0026307,829.2046345192398,1011.3549227505391,0
441,1140787597.481545,829.0098981686206,1012.5201504275382,0
442,1140514900.1464734,828.815579133391,1013.6828810492063,0
443,1140243389.851307,828.6216765192547,1014.8431199666743,0
444,1139973061.4720612,828.4281894338307,1016.0008725196053,0
445,1139703909.9067767,828.2351169866512,1017.1561440362193,0
446,1139435930.0754278,828.0424582891558,1018.3089398333183,0
447,1139169116.9198282,827.8502124546887,1019.4592652163111,0
448,1138903465.403535,827.6583785984946,1020.6071254792363,0
449,1138638970.5117588,827.4669558377135,1021.7525259047883,0
450,1138375627.2512674,827.2759432913776,1022.8954717643401,0
451,1138113430.6502962,827.0853400804075,1024.0359683179686,0
452,1137852375.7584536,826.8951453276065,1025.1740208144781,0
453,1137592457.6466327,826.7053581576592,1026.3096344914254,0
454,1137333671.4069147,826.5159776971249,1027.4428145751428,0
455,1137076012.152484,826.3270030744345,1028.5735662807638,0
456,1136819475.017533,826.1384334198879,1029.7018948122445,0
457,1136564055.1571763,825.9502678656472,1030.8278053623903,0
458,1136309747.7473536,825.7625055457355,1031.9513031128765,0
459,1136056547.9847498,825.5751455960311,1033.0723932342776,0
460,1135804451.0866992,825.388187154264,1034.1910808860848,0
461,1135553452.2910995,825.2016293600122,1035.3073712167331,0
462,1135303546.8563235,825.0154713546976,1036.4212693636255,0
463,1135054730.0611286,824.8297122815821,1037.5327804531557,0
464,1134806997.2045763,824.6443512857635,1038.64190960073,0
465,1134560343.6059358,824.4593875141715,1039.748661910795,0
466,1134314764.6046033,824.2748201155634,1040.8530424768562,0
467,1134070255.5600157,824.090648240522,1041.9550563815046,0
468,1133826811.8515627,823.9068710414493,1043.0547086964407,0
469,1133584428.8784995,823.7234876725645,1044.1520044824947,0
470,1133343102.059866,823.5404972898982,1045.2469487896517,0
471,1133102826.8343992,823.3578990512908,1046.3395466570767,0
472,1132863598.660448,823.1756921163867,1047.4298031131327,0
473,1132625413.0158923,822.9938756466313,1048.51772317541,0
474,1132388265.3980548,822.8124488052667,1049.6033118507457,0
475,1132152151.3236213,822.631410757329,1050.6865741352458,0
476,1131917066.328556,822.4507606696428,1051.767515014311,0
477,1131683005.9680178,822.2704977108185,1052.8461394626588,0
478,1131449965.8162816,822.0906210512481,1053.9224524443446,0
479,1131217941.46665,821.9111298631013,1054.9964589127874,0
480,1130986928.5313792,821.7320233203221,1056.0681638107894,0
481,1130756922.6415925,821.5533005986248,1057.1375720705628,0
482,1130527919.447201,821.3749608754897,1058.2046886137484,0
483,1130299914.6168203,821.1970033301601,1059.269518351441,0
484,1130072903.8376963,821.0194271436377,1060.3320661842097,0
485,1129846882.81562,820.84223149868,1061.3923370021241,0
